measnum,varname,strain,strainid,sex,mean,nmice,sd,sem,cv,minval,maxval,zscore
62006,periphery_dist,BXD21,1121,m,5764,10,1187,375,0.206,4112,7722,-0.15
62006,periphery_dist,BXD27,1127,m,5481,10,1017,322,0.186,3374,6490,-0.39
62006,periphery_dist,BXD28,1128,m,4009,10,1289,408,0.322,2592,6895,-1.64
62006,periphery_dist,BXD31,1131,m,5148,10,1346,426,0.262,2236,6849,-0.67
62006,periphery_dist,BXD32,1132,m,8287,10,952,301,0.115,6546,9775,2.00
62006,periphery_dist,BXD33,1133,m,5182,1,0,0,0,5182,5182,-0.65
62006,periphery_dist,BXD34,1134,m,4118,2,29.0,20.5,0.00704,4098,4139,-1.55
62006,periphery_dist,BXD39,1139,m,4749,10,1040,329,0.219,2985,5734,-1.01
62006,periphery_dist,BXD40,1140,m,6215,10,1603,507,0.258,3427,8886,0.24
62006,periphery_dist,BXD42,1142,m,7030,10,1116,353,0.159,5419,8806,0.93
62006,periphery_dist,BXD43,1143,m,4518,10,858,271,0.190,3411,6264,-1.21
62006,periphery_dist,BXD44,1144,m,5860,10,1321,418,0.225,3813,8089,-0.07
62006,periphery_dist,BXD48,1148,m,5645,10,1009,319,0.179,4404,7661,-0.25
62006,periphery_dist,BXD49,1149,m,5236,10,1158,366,0.221,3735,7843,-0.60
62006,periphery_dist,BXD50,1150,m,6349,10,2004,634,0.316,2644,9253,0.35
62006,periphery_dist,BXD51,1151,m,6969,10,1314,416,0.189,5436,9587,0.88
62006,periphery_dist,BXD6,1106,m,5773,10,1094,346,0.189,4909,8382,-0.14
62006,periphery_dist,BXD61,1161,m,7700,10,1164,368,0.151,5899,9134,1.50
62006,periphery_dist,BXD62,1162,m,3902,10,1723,545,0.442,102,6493,-1.74
62006,periphery_dist,BXD65,1165,m,7271,10,1062,336,0.146,5676,8820,1.14
62006,periphery_dist,BXD66,1166,m,4583,4,316,158,0.0689,4117,4778,-1.16
62006,periphery_dist,BXD68,1168,m,7047,6,1463,597,0.208,5297,9648,0.94
62006,periphery_dist,BXD69,1169,m,5884,10,1874,593,0.318,1788,8918,-0.05
62006,periphery_dist,BXD70,1170,m,5893,10,1170,370,0.199,3410,7500,-0.04
62006,periphery_dist,BXD71,1171,m,8054,2,1872,1324,0.232,6730,9377,1.80
62006,periphery_dist,BXD73,1173,m,6997,10,649,205,0.0927,6066,7845,0.90
62006,periphery_dist,BXD75,1175,m,4890,10,851,269,0.174,3847,6298,-0.89
